pop,ind,lat,long,dbh,age,MO1,MO6,MO10,MO55,MO61,MO41,MO45,MO46,MO56,MO8,MO12,MO13,MO68
WM,S18T6,575129,3149531,17.4,51,136/136,506/508,270/270,110/110,298/302,143/143,208/212,426/428,335/345,149/165,266/266,328/334,251/267
WM,S18T7,575141,3149536,22.9,59,136/136,506/510,270/270,110/110,298/302,143/143,196/198,418/426,335/345,165/165,268/268,336/346,245/267
WM,S18T10,575163,3149489,15.6,42,136/136,506/506,270/270,110/112,302/302,143/143,208/210,418/426,333/333,165/165,258/266,328/328,245/267
WM,S19T8,575258,3149459,22.6,60,136/136,506/508,270/286,110/110,298/302,143/143,210/212,418/428,333/335,165/165,256/264,328/346,267/267
WM,S20T1,575301,3149402,28.3,73,136/136,506/510,270/270,110/120,298/298,143/143,208/208,422/428,335/335,149/165,256/262,336/346,245/267
WM,S20T3,575321,3149399,43.5,118,136/136,506/506,270/270,110/112,298/302,143/143,208/208,426/428,333/335,165/165,258/258,328/328,267/267
WM,S20T4,575314,3149378,24.8,68,136/136,506/510,270/286,112/122,298/302,143/143,198/208,426/428,333/335,165/165,268/268,328/336,245/249
WM,S20T5,575329,3149304,28.3,78,136/136,506/508,270/270,110/118,298/302,143/143,210/210,428/428,333/333,165/165,248/266,328/340,245/249
WM,S20T7,575347,3149353,15.6,42,136/136,506/506,270/270,110/110,298/302,143/143,210/210,422/428,333/333,165/165,268/268,334/340,249/251
WM,S20T10,575372,3149372,35.8,96,136/136,506/510,270/270,110/110,298/298,143/143,198/210,428/428,335/335,165/165,268/268,328/336,245/249
WM,S20T12,575450,3149396,80.9,215,136/136,506/510,270/270,110/110,302/302,143/143,210/210,418/422,335/335,165/165,256/256,336/336,267/267
WM,S20T14,575463,3149376,15,43,136/136,506/506,270/270,110/122,298/298,143/143,196/212,428/428,333/345,165/165,256/256,328/336,245/245
WM,S20T15,575473,3149363,75.1,191,136/136,506/508,270/270,110/110,302/302,143/143,210/210,422/428,335/335,165/165,268/268,336/336,267/267
WM,S20T17,575454,3149430,51.9,131,136/136,510/510,270/270,110/110,298/298,143/143,196/208,428/428,335/335,165/165,268/268,328/346,245/245
WM,S21T2,575504,3149429,13.7,40,136/136,506/510,270/270,110/122,302/302,143/143,208/212,426/426,335/335,165/165,264/264,336/346,249/267
WM,S21T3,575509,3149419,19.4,50,136/136,506/506,270/270,110/110,298/298,143/143,198/210,428/430,333/335,165/165,268/268,328/328,245/267
WM,S21T5,575540,3149399,38.6,102,136/136,506/506,270/270,110/110,298/302,143/143,208/208,418/426,335/335,165/165,258/258,336/346,245/267
WM,S21T6,575552,3149430,25.8,68,136/136,510/510,270/270,110/122,298/302,143/143,208/212,426/426,345/347,165/165,268/268,328/336,245/249
WM,S21T7,575555,3149413,24.2,67,136/136,506/506,270/270,110/122,302/302,143/143,198/210,426/426,333/335,165/165,256/264,328/328,245/267
WM,S21T9,575567,3149432,18.3,52,136/136,506/506,270/276,110/122,298/302,143/143,210/212,414/428,333/335,165/165,244/266,328/334,245/245
WM,S21T12,575582,3149381,23.2,61,136/136,506/510,270/270,110/122,302/302,143/143,208/212,426/426,335/335,165/165,264/264,336/346,249/267
WM,S22T3,575628,3149299,20.7,188,136/136,506/506,270/270,110/122,298/302,143/143,208/212,426/426,335/335,165/165,266/266,328/346,255/275
